ï»¿id,clee,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,nom_CenCom.1,cod_postal,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,cve_entidad_fk,cve_municipio_fk,codigo_act,Unnamed: 37
9401810,02001112516000021000000000U2,BAJA AQUA FARMS,BAJA AQUA FARMS SA DE CV,0 a 5 personas,CALLE,7,PASAJE,MAR,OTRO(ESPECIFIQUE),MAR,OTRO(ESPECIFIQUE),NINGUNO,1.0,,BAJA AQUA,PISO 1,,,COLONIA,22760,,,,,7466,2,,ANDRES.GUTIERREZ@BAJAAQUAFARMS.MX,BAJAAQUAFARMS.COM,Fijo,31.89404935,-116.7058409,2023-11,2,1,112516,
11032940,02001115111000021000000000S9,BAJA BIOTICS,BAJA BIOTICS S DE RL DE CV,0 a 5 personas,AVENIDA,PEDRO LOYOLA,PROLONGACION,ESMERALDA,CALLE,ESMERALDA,AVENIDA,PEDRO LOYOLA,406.0,,ESPACIO 406,PLANTA BAJA,10.0,,FRACCIONAMIENTO,PLAYA HERMOSA,EDIFICIO COMERCIAL Y DE SERVICIOS,ESPACIO 406,ESPACIO 407,22890.0,083A,9,,,,Fijo,31.84588663,-116.6083698,2024-11,2,1,115111,
7633673,02001115119000061000000000U8,BAJA ORGANIC,BAJA ORGANIC S DE RL DE CV,0 a 5 personas,AVENIDA,REVOLUCION,CALLE,NINGUNO,CALLE,PRIMERA,,PANTANO,,SN,,,,,COLONIA,MANEADERO,,,,22790.0,1096,2,,TYTT@PRODIGY.NET.MX,,Fijo,31.72462297,-116.5772848,2019-11,2,1,115119,
6726612,02001431130000216011038338M2,BAJA PK,BAJA PK SA,251 y mÃ¡s personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,REVOLUCIÃN,CARRETERA,LA BUFADORA,0.0,SN,,,,,COLONIA,MANEADERO PARTE ALTA,,,,,1096,6,,MLOZANO@BAJAPK.COM.MX,,Fijo,31.72484994,-116.5795982,2016-01,2,1,115119,
6752874,02001112512000361000000000U1,BAJA REEF AQUACULTURE,BAJA REEF AQUACULTURE S DE RL DE CV,0 a 5 personas,CALLE,H DE LAS MORAS,CALLE,DURAZNO,CALLE,TEJOCOTES,CALLE,ZINIAS,280.0,,,,0.0,,COLONIA,VALLE VERDE PARTE ALTA,,,,,770A,21,6461507816.0,BAJAREFF@GMAIL.COM,,Fijo,31.88732238,-116.5951821,2016-10,2,1,112519,
8901366,02001114119003491000000000U5,BUZOS Y PESCADORES DE PLAYA SAN RAMON,BUZOS Y PESCADORES DE PLAYA SAN RAMON ,0 a 5 personas,AVENIDA,AV INDUSTRIAL,CALLE,Cuarta,CALLE,Los Girasoles,AVENIDA,20 de Noviembre,301.0,,,,,,COLONIA,VICENTE GUERRERO,,,,22992.0,820A,16,6161117006.0,,,Fijo,31.32271569,-116.2493151,2019-11,2,1,114119,
6166471,02001114119001954001000000U4,BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU,BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU ,31 a 50 personas,CARRETERA,TERCERA,CARRETERA,ENSENADA LA BUFADORA,CALLE,URSADORA,CALLE,SEXTA,10.0,,KILOMETRO,PISO 1,10.0,,EJIDO,CORONEL ESTEBAN CANTU,,,,22791.0,6538,29,,BUZOSYPESCADORESESTEBANCANTU@HOTMAIL.COM,,Fijo,31.70434,-116.64076,2010-07,2,1,114119,
9045986,02001114119003073000000000U1,CORPORACION DE ATUNEROS DE ENSENADA SA DE CV,CORPORACION DE ATUNEROS DE ENSENADA SA DE CV,6 a 10 personas,BOULEVARD,TENIENTE AZUETA,BOULEVARD,LAZARO CARDENAS,OTRO(ESPECIFIQUE),240,OTRO(ESPECIFIQUE),MAR,96.0,,,,0.0,,COLONIA,22760,,,,,628,42,,CORP.ATUNEROSDEENSENADA@HOTMAIL.COM,,Fijo,31.86538936,-116.6593639,2019-11,2,1,114119,
6166434,02001112512000041001000000U9,CULTIVADORES DEL PACIFICO,CULTIVADORES DEL PACIFICO S DE RL ,0 a 5 personas,CALLE,SAN FELIPE,BOULEVARD,PLINTA,AVENIDA,LAS PALMAS,CALLE,ENSENADA,187.0,,,,,,FRACCIONAMIENTO,ACAPULCO,,,,,929,12,6461136184.0,,CULTIVADORESQMSN.COM,Fijo,31.83573668,-116.6044305,2010-07,2,1,112519,
9338118,02001115119000156000056066M6,CYLO ZAMORA,CYLO ZAMORA SA,251 y mÃ¡s personas,PRIVADA,20 DE NOVIEMBRE,CALLE,11,CALLE,12,PRIVADA,20 DE NOVIEMBRE,1193.0,,,,,,COLONIA,22820,,,,,562,15,,CYLOZAMORA@GRUPOCYLO.MX,WWW.GRUPOCYLO.MX,Fijo,31.87668888,-116.6271403,2021-05,2,1,115119,
6166287,02001431123000051001000000U8,DENEBOLA,DENEBOLA SA DE CV,11 a 30 personas,CALLE,10,AVENIDA,ALVARO OBREGON,AVENIDA,MOCTEZUMA,CALLE,11,285.0,,,,6.0,,COLONIA,22820,,,,,577,18,,DENEBOLASA@YAHOO.COM.MX,,Fijo,31.87365896,-116.6249121,2014-12,2,1,114119,
9306801,02001114113000144000062530S6,EMPACADORA SAN MIGUEL,EMPACADORA SAN MIGUEL SA DE CV,31 a 50 personas,CALZADA,VISTA AL MAR,CALLE,SIN REFERENCIA,CALLE,ESPERANZA,CALLE,OLIVOS,,SN,,,,,COLONIA,EL SAUZAL DE RODRIGUEZ,,,,22760.0,7485,34,,CPMIGUELMEZA@HOTMAIL.COM,,Fijo,31.9041686,-116.710097,2020-11,2,1,114113,
8789503,02001114119003313000062530M1,EMPACADORA SAN MIGUEL,EMPACADORA SAN MIGUEL SA DE CV,11 a 30 personas,CALLE,CALLE DEL MAR,CALLE,ESPERANZA,CALLE,TRIUNFO,CALLE,OLIVOS,0.0,,,,0.0,,COLONIA,VISTA AL MAR,,,,22760.0,9640,37,,CPMIGUELMEZA@HOTMAIL.COM,,Fijo,31.77398011,-116.5861883,2019-11,2,1,114113,
9720454,02001114112000121000000000U6,EMPAQUE DE ATUN,EMPAQUE DE ATUN SC DE RL,0 a 5 personas,AVENIDA,K,CALLE,SEGUNDA,CALLE,COLINAS RIVERSIDE,AVENIDA,L,408.0,,,,,,COLONIA,LOMAS DEL SAUZAL,,,,22760.0,308,40,,,,Fijo,31.89204414,-116.6918137,2024-11,2,1,114112,
7005046,02001115113000142000000000U9,EMPAQUE DE LEGUMINOSAS,,0 a 5 personas,CALLE,DUNAS,CALLE,VELEROS,CALLE,DELFINES,CALLE,CORAL,0.0,SN,,,0.0,,LOCALIDAD,MANEADERO,,,,22790.0,1344,2,,,,Fijo,31.69783524,-116.5501278,2019-11,2,1,115113,
6166461,02001114119001392001000000U7,ERICEROS DE LA COSTA DEL PACIFICO,ERICEROS DE LA COSTA DEL PACIFICO ,11 a 30 personas,CALLE,SAN FELIPE,CALLE,BAHIA MAGDALENA,CALLE,ENSENADA,BOULEVARD,ESTANCIA,51.0,,,,,,FRACCIONAMIENTO,ACAPULCO,,,,22830.0,929,38,6461162215.0,,,Fijo,31.83642759,-116.60465,2010-07,2,1,114119,
6166464,02001114119001853001000000U8,ERIPAC,ERIPAC SA DE CV,11 a 30 personas,CALLE,AGATA,CALLE,BASALTO,CALLE,CAMAL,CALLE,ERENDIRA,155.0,,,,,,COLONIA,PEDREGAL PLAYITAS,,,,22760.0,6631,800,,ERIPAC@YAHOO.COM,,Fijo,31.3621,-116.471,2010-07,2,1,114119,
9435972,02001115113000213000000000U8,G. NATURAL DE MEXICO,G. NATURAL DE MEXICO S DE RL DE CV,11 a 30 personas,OTRO(ESPECIFIQUE),PARCELA 70Z-3 P-1,AVENIDA,NINGUNO,AVENIDA,NINGUNO,AVENIDA,NINGUNO,0.0,SN,,,0.0,,COLONIA,ERENDIRA,,,,22904.0,6665,25,,RAUL.ARANDA@GROWERS.COM.MX,HTTP:WWW.GNPRODUCTORES.NETCONTACTO,Fijo,31.27315528,-116.371826,2023-11,2,1,115113,
9223515,02001115113000164000000000U3,GRINGO SOUTH,GRINGO SOUTH SA DE CV,51 a 100 personas,CALLE,CARRETERA EL TIGRE-PRVENIR,CALLE,LOTE 11 SAN MARCOS,OTRO(ESPECIFIQUE),PORVENIR,CALLE,NINGUNO,1.0,,,,,,LOCALIDAD,RANCHO SAN MARCOS,,,,,6307,800,,GHERNANDEZ@TACNA.NET,,Fijo,32.03044722,-116.6720089,2020-04,2,1,115113,
8789612,02001114119003334000000000U7,GRUPO DE PESCADORES RIBEREÃOS SPR DE RL,GRUPO DE PESCADORES RIBEREÃOS SA DE CV,11 a 30 personas,CALLE,ESMERALDA ,CALLE,FRANCISCO VILLA ,CALLE,A. GONZALEZ ,CALLE,OPALO,232.0,,,,0.0,,COLONIA,JALISCO ,,,,,736,10,6461995529.0,,,Fijo,31.8634666,-116.6110708,2019-11,2,1,114119,
8838347,02001114119003563000000000U1,GRUPO MARITIMO PROVEMAR,GRUPO MARITIMO PROVEMAR SPR DE RL,6 a 10 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,TENIENTE AZUETA,CALLE,NINGUNO,1249.0,,,,1.0,,COLONIA,22880,,,,,632,9,6643689702.0,GMPROVEMAR@GMAIL.COM,,Fijo,31.86180627,-116.6295182,2019-11,2,1,114119,
10668992,02001114119003963000000000U3,HERMANOS VIERA PROCESADORA DE PRODUCTOS DEL MAR,HERMANOS VIERA S P R DE C V SA DE CV,11 a 30 personas,CALLE,C,CALLE,NOGAL,CALLE,MANZANO,PRIVADA,MANZANO 3,321.0,,,,398.0,,COLONIA,GRANJAS EL GALLO,,,,22850.0,7907,1,6462016001.0,,,Fijo,31.85840666,-116.5721076,2024-11,2,1,114119,
7863369,02001114119002854000000000U5,INOCENCIO  VILLAVICENCIO ALVARADO,,11 a 30 personas,AVENIDA,del Puerto,CALLE,Tritones,AVENIDA,Adolfo LÃ³pez Mateos,AVENIDA,Guadalupe,109.0,,,,0.0,,FRACCIONAMIENTO,PLAYA DE ENSENADA,,,,22880.0,825,52,,,,Fijo,31.85834194,-116.6146335,2019-11,2,1,114119,
9046053,02001114119003131000000000U7,INTEGRADORA COMERCIAL AMS,INTEGRADORA COMERCIAL AMS SA DE CV,0 a 5 personas,AVENIDA,Castillo,CALLE,Tercera,CALLE,Cuarta (Mutualismo),AVENIDA,Mar,390.0,,DUGAR,PISO 2,16.0,,COLONIA,SECCIÃN PRIMERA,CENTRO Y PLAZA COMERCIAL,PLAZA DUGAR,PLAZA DUGAR,22800.0,721,11,,,,Fijo,31.86373086,-116.6189921,2019-11,2,1,114113,
6166473,02001114119001512001000000U0,JOSÃ ALFREDO QUEZADA ROMERO,,0 a 5 personas,CALLE,16 DE SEPTIEMBRE,PASAJE,NINGUNO,PROLONGACION,NINGUNO,,NINGUNO,240.0,,,,0.0,,EJIDO,RODOLFO SANCHEZ TABOADA,,,,22793.0,7818,35,,,,Fijo,31.87273868,-116.5714043,2010-07,2,1,114119,
6166370,02001114119000241000000000U7,JOSÃ LEOBARDO MARTINEZ VIDAURRAZAGA,,0 a 5 personas,CALLE,COLIBRÃES,CALLE,TUCANES,CALLE,CISNES,,NINGUNO,223.0,,,,0.0,,COLONIA,LA JOYITA,,,,22810.0,7451,10,,,,Fijo,31.8886468,-116.6243454,2010-07,2,1,114119,
100510,02001931510000231020000000U9,JUNTA LOCAL DE SANIDAD VEGETAL,JUNTA LOCAL DE SANIDAD VEGETAL DE LA ZONA COSTA DEL ESTADO DE BAJA CALIFORNIA PERSONA MORAL CON FINES NO LUCRATIVOS,0 a 5 personas,CARRETERA,TRANSPENINSULAR REFORMA,CARRETERA,TRANSPENINSULAR (REFORMA),CARRETERA,TRANSPENINSULAR (REFORMA),BOULEVARD,ZERTUCHE,0.0,SN,,,113.0,A,COLONIA,CARLOS PACHECO,,,,22890.0,5987,54,,,,Fijo,31.82182669,-116.5988523,2014-12,2,1,115111,
6166298,02001114119002273001000000U8,KING FISHER,KING FISHER S DE RL DE CV,6 a 10 personas,AVENIDA,RuÃ­z,CALLE,NUEVE,CALLE,DIEZ,CALLE,Gastelum,962.0,,,,9.0,,COLONIA,22820,CENTRO Y PLAZA COMERCIAL,PLAZA RUIZ,PLAZA RUIZ,22800.0,577,22,,,,Fijo,31.87259255,-116.6231946,2014-12,2,1,114119,
6166454,02001114119001442001000000U0,LINAMAR,LINAMAR SA DE CV,11 a 30 personas,CALLE,LAGO TORONTO,CALLE,LAGUNA MONTEBELLO,CALLE,LAGUNA PASCUARO,CALLE,NINGUNO,365.0,,,,,,FRACCIONAMIENTO,VALLE DORADO,,,,,5968,4,6461619668.0,LUIS_CASTAVA@HOTMAIL.COM,,Fijo,31.83244727,-116.5968806,2010-07,2,1,114119,
9450263,02001311710000634000000000U0,LIVE BAIT,LIVE BAIT ENSENADA SA DE CV,0 a 5 personas,CALLE,EMILIANO ZAPATA,AVENIDA,PUERTO SAN CARLOS,CALLE,TIJUANA-ENSENADA,CALLE,EMILIANO ZAPATA,100.0,,,,0.0,,COLONIA,EL SAUZAL,,,,22760.0,7485,4,,,,Fijo,31.89874242,-116.6994384,2023-11,2,1,112515,
9045843,02001114119002905000000000U5,MANUEL  MANCILLA ALCOCER,,31 a 50 personas,CALLE,RÃ­o Po,CALLE,RÃ­o Plata,CALLE,RÃ­o Blanco,CALLE,Amatista,122.0,,,,0.0,,FRACCIONAMIENTO,VALLE DORADO,,,,22890.0,795A,8,6462182074.0,,,Fijo,31.84487314,-116.594014,2019-11,2,1,114119,
6166452,02001114119001693001000000U8,MAR DE LA CORINA,MAR DE LA CORINA SA DE CV,6 a 10 personas,CALLE,FLORESTA,CALLE,SEGUNDA,CALLE,TERCERA,CALLE,ESPINOZA,659.0,,,,,,COLONIA,22830,,,,22800.0,736,22,,MCORI@PRODIGY.NET.MX,,Fijo,31.8661121,-116.6136291,2014-12,2,1,114119,
6166268,02001114119002553001000000U3,MARIA DEL CONSUELO FRANCISCA FLORES LOZANO,,6 a 10 personas,CALLE,ALDAMA,CALLE,QUINTA,CALLE,CUARTA,CALLE,GRANADA,444.0,,,,0.0,,COLONIA,ZONA CENTRO,,,,,524,15,,SRA.CONSUELO.FRANCISCA@GMAIL.COM,,Fijo,31.8744889,-116.6378375,2014-12,2,1,114119,
6739928,02001114119002653000000000U7,MARISCOS DE SAN FELIPE,MARISCOS DE SAN FELIPE SA DE CV,6 a 10 personas,AVENIDA,LAS MORAS,CARRETERA,ENSENADA LIBRE - TECATE,,NINGUNO,,NINGUNO,344.0,,,,0.0,,PUEBLO,EL SAUZAL,,,,22760.0,7485,36,6461511389.0,LETTY_VLZA@HOTMAIL.COM,,Fijo,31.90507472,-116.6981594,2016-10,2,1,114119,
8853688,02001114119003402000000000U2,MARTIN  ZAMBRANO LOMELI,,0 a 5 personas,CALLE,COLINAS DEL SOL,CERRADA,NINGUNO,CALLE,NINGUNO,CALLE,PRIMERA,89.0,,,,0.0,,,MANCHURIA,,,,22760.0,7409,9,6469476045.0,,,Fijo,31.88708538,-116.6866785,2019-11,2,1,114119,
6166459,02001114119001643001000000U3,NISHIKAWA Y ASOCIADOS,NISHIKAWA Y ASOCIADOS SA DE CV,6 a 10 personas,BOULEVARD,SIN REFERENCIA,,NINGUNO,,NINGUNO,,NINGUNO,187.0,,,,0.0,,COLONIA,22870,,,,22800.0,628,17,,,,Fijo,31.86053702,-116.6361138,2010-07,2,1,114119,
8901388,02001114119003502000000000U9,OCEANO DE EROMAR,OCEANO DE EROMAR S DE RL DE CV,0 a 5 personas,CALLE,Heladio,,Sin Referencia,CALLE,Ninguno,,Sin Referencia,403.0,,,,0.0,,FRACCION,FRACCIONAMIENTO RESIDENCIAL EL REY,,,,22785.0,9814,36,,,,Fijo,31.78787121,-116.5632445,2019-11,2,1,114119,
6740777,02001112512000341000000000U1,ORNAMENTAL LIFE,ORNAMENTAL LIFE S DE RL DE CV,0 a 5 personas,CALLE,ARIES,CALLE,BOREAL,CALLE,CALLE DEL SOL,CALLE,BOREAL,624.0,,,,,,COLONIA,VILLAS DEL SOL,,,,,1039,3,6461901520.0,ORNAMENTALLIFE@GMAIL.COM,,Fijo,31.89707202,-116.7079002,2016-10,2,1,112519,
7863371,02001114119002872000000000U7,OTRA ACUICULTURA SIN NOMBRE,,0 a 5 personas,CALLE,DEL PUERTO,CALLE,SEGUNDA,CALLE,TERCERA,AVENIDA,BENITO JUAREZ,1850.0,,,,,,COLONIA,HIDALGO,,,,,7875,2,6461207722.0,BAJAORNAMENTALS@DOL.COM.MX,,Fijo,31.86012799,-116.5885083,2019-11,2,1,112519,
9045932,02001114119002984000000000U0,OTRA ACUICULTURA SIN NOMBRE,,11 a 30 personas,CALLE,JUAN RULFO,CALLE,SAN CARLOS,CALLE,SAN DIEGO,CALLE,LAZARO CARDENAS,1265.0,7,,,,,PRIVADA,TODOS LOS SANTOS,,,,,9725,34,6461613903.0,,,Fijo,31.77255677,-116.5666224,2019-11,2,1,114119,
8704365,02001112512000422000000000U1,OTRA ACUICULTURA SIN NOMBRE,,0 a 5 personas,CARRETERA,LA PAZ KM 141,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,,KM 141,,,,,EJIDO,EJIDO URUAPAN,,,,,6542,800,6462716696.0,,,Fijo,31.62345024,-116.4393923,2019-11,2,1,114119,
100528,02001115119000051000000000U9,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,ELIAS CANDOLFI VILLEGAS ,0 a 5 personas,AVENIDA,CERRO DEL PEDREGOSO,CALLE,JOSE CECEÃA,BOULEVARD,INGENIERO EMILIO BOLAÃOS CACHO,AVENIDA,SIERRA DE JUAREZ,0.0,SN,,,,,LOCALIDAD,REAL DEL CASTILLO NUEVO (OJOS NEGROS),,,,22770.0,197A,7,6461134055.0,,,Fijo,31.90288196,-116.2805506,2014-12,2,1,115119,
8696208,02001114119003412000000000U1,PARTNERS VENEZIA,PARTNERS VENEZIA S DE RL DE CV,0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,20 DE NOVIEMBRE,CALLE,VIRGILIO URIBE,,NINGUNO,12.0,,,,0.0,,COLONIA,22870,,,,22870.0,628,54,,,,Fijo,31.8646597,-116.6310384,2019-11,2,1,114119,
9046026,02001114119003101000000000U0,PECES DE BAJA,PECES DE BAJA SA DE CV,0 a 5 personas,CALLE,Ninguno,RETORNO,Ninguno,CALLE,Ninguno,,Sin Referencia,0.0,SN,,,0.0,,PUEBLO,COLINAS DEL MAR,,,,22760.0,7470,1,,,,Fijo,31.88452306,-116.6861253,2019-11,2,1,114119,
9046042,02001114119003124000000000U2,PESCA AZUL,PESCA AZUL SA DE CV,11 a 30 personas,CALLE,Ryerson,CALLE,SÃ©ptima,CALLE,Octava,AVENIDA,Moctezuma,724.0,,,,0.0,,CIUDAD,22860,,,,22760.0,651,14,,PROCEAN@PRODIGY.NET.MX,,Fijo,31.87118305,-116.6281717,2019-11,2,1,114119,
6166272,02001114112000083001000000U8,PESCA CHIAPAS,PESCA CHIAPAS SA DE CV,51 a 100 personas,AVENIDA,GALEANA,AVENIDA,DIAMANTE,BOULEVARD,ADOLFO RAMÃREZ MÃNDEZ,AVENIDA,FRANCISCO MINA,352.0,,,,,,FRACCIONAMIENTO,BAHIA,,,,22880.0,7856,15,,MAXIMO.GUTIERREZ@PROCESA.MX,,Fijo,31.85822503,-116.6034446,2014-12,2,1,114112,
8011869,02001114119002772000000000U9,"PESCA DE CRUSTÃCEOS, MOLUSCOS Y OTROS PECES SIN NOMBRE",,0 a 5 personas,CALLE,Ensenada,CALLE,Floresta,AVENIDA,Las Palmas,CALLE,Calle de la Paz,376.0,,,,0.0,,FRACCIONAMIENTO,ACAPULCO,,,,22890.0,929,42,,,,Fijo,31.83342955,-116.6031102,2019-11,2,1,114119,
9046109,02001114119003182000000000U0,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÃCEOS, MOLUSCOS Y OTRAS ESPECIES",ANDRES GASTELUM MACHADO ,0 a 5 personas,CALLE,JESUS GARCIA ,CALLE,ALVARO OBREGON ,CALLE,SIN NOMBRE,CALLE,SIN NOMBRE ,195.0,,,,0.0,,EJIDO,EJIDO ERENDIRA,,,,,6665,1,6461617161.0,,,Fijo,31.27742596,-116.3748714,2019-11,2,1,114119,
9046154,02001114119003231000000000U5,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÃCEOS, MOLUSCOS Y OTRAS ESPECIES",CRUZ ALBERTO ZAMORA LEON ,0 a 5 personas,OTRO(ESPECIFIQUE),PARCELA 102 MANEADERO PARTE ALTA,CALLE,SN,CALLE,SN,CALLE,SN,0.0,SN,,,0.0,,EJIDO,MANEADERO,,,,,6538,800,6461502624.0,,,Fijo,31.71516238,-116.6682211,2024-11,2,1,114119,
6166467,02001114119001171000000000U5,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÃCEOS, MOLUSCOS Y OTRAS ESPECIES",ISRAEL SANCHEZ IBARRA ,0 a 5 personas,CALLE,EL RINCON DE BALLENAS,CALLE,RINCON BALLENAS,CALLE,NINGUNO,CALLE,NINGUNO,,SN,,,,,EJIDO,CORONEL ESTEBAN CANTÃ,,,,22790.0,6538,800,,,,Fijo,31.7255,-116.679,2010-07,2,1,114119,
9046067,02001114119003151000000000U5,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÃCEOS, MOLUSCOS Y OTRAS ESPECIES",JAVIER MARTINEZ OLIVARES ,0 a 5 personas,AVENIDA,Transpeninsular (Reforma),CALLE,Antonio Villareal,CALLE,Floresta,CALLE,Manuel M. DiÃ©guez,758.0,,,,0.0,,FRACCIONAMIENTO,BOSQUE DE LOS OLIVOS,,,,22818.0,7979,40,,,,Fijo,31.83233525,-116.6012007,2019-11,2,1,114119,
7863331,02001114119002841000000000U2,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÃCEOS, MOLUSCOS Y OTRAS ESPECIES",EDUARDO AVILA YAÃEZ ,0 a 5 personas,CALLE,MARIANO ESCOBEDO,CALLE,SANCHEZ,CALLE,FRANCISCO DE ANZAS ,CALLEJON,REFORMA,900.0,,,,0.0,,EJIDO,EJIDO MANEADERO,,,,,603A,15,6461278844.0,,,Fijo,31.72982986,-116.5769308,2019-11,2,1,114119,
